"MC.order.supervized.plot..figure.legends.etc"	"Abbreviations..short..for.figures."	"Color.code"	"technical.Abbreviations..internal.use."	"group.name.V11"	"MC.Familes"	"Group.summary..1..Histology..1.sentence..2..Location.and.age..1.sentence...3..Typical.CN.changes.observable.on.450K.CNP..at.least.observed.in.20..of.cases..one.sentence...4..Principal.molecular.features.besides.methylation.and.CNP..e.g..recurrent.gene.pathway.mutations.observed.in.at.least.20..of.cases..1.sentence...5..WHO.equivalent..if.very.close.to.WHO.group."	"groupSize"	"age.median..range."	"Male.Female"	"Class.in.comparisson.to.WHO..equivalent..more.than.95..of.respective.class..no.subclasses..subclass..more.than.95..but.subclasses..combination..less.than.95..of.one.WHO.entity.."	"Diagnosis_Max_1"	"Diagnosis_Max_2"	"LocalisationStandarized"	"Publication"	"Author"	"age_median"	"age_min"	"age_max"	"age_mean"	"Diagnosis_Max_3"	"Old.group.order."	"Short.Class.name.for.graphical.table"	"Old.names..do.not.use...internal.name.only."	"German.name.V11"
11	"HGNET, BCOR"	"739aca"	"HGNET_BCOR"	"methylation class CNS high grade neuroepithelial tumor with BCOR alteration"	NA	"The methylation class "CNS high grade neuroepithelial tumor with BCOR alteration" is mainly comprised of tumors with the histological diagnosis CNS embryonal tumor, NOS; anaplastic ependymoma and glioblastoma, IDH wildtype. Tumors can be located supratentorially or in the posterior fossa. The age at diagnosis is typically under 18 years with rare exceptions; median age is 5 years (range 1 to 26). Molecularly, most cases harbor an internal tandem duplication in the BCOR gene. Rare cases harbor BCOR mutations. Up to 20% of cases show a gain of chromosome 1q, otherwise no recurrent copy number changes are observed and most cases show a flat profile in copy number analysis. "	23	"5 (1-26)"	0.833333333333333	"not equivalent to WHO"	"CNS embryonal tumour, NOS            (12; 54.5%)"	"Anaplastic ependymoma   (4; 18.2%)"	"supra (12; 75%), PF (4; 25%)"	"Sturm et al., Cell. 2016 Feb 25;164(5):1060-72; PMID: 26919435"	"DS"	5	1	26	7.4	"Glioblastoma, IDH-wildtype  (2: 9.1%)"	45	"Embryonal"	"HGNET_BCOR"	"Methylierungsklasse hochgradiger neuroepithelialer ZNS Tumor mit BCOR Alteration"
12	"DMG, K27"	"a3f187"	"DMG_K27"	"methylation class diffuse midline glioma H3 K27M mutant"	NA	"The methylation class "diffuse midline glioma H3 K27M mutant" is comprised of tumors with a histological diagnosis of diffuse midline glioma, H3 K27M mutant. The tumors are located in midline structures (thalamus, cerebellum, brainstem, spine). Median age is 13 years (range 3 to 54). Tumors of this class harbor mutations of codon 27 in one of the genes encoding histone 3 (most commonly H3F3A, but also the H3.1 genes HIST1H3A/B/C and very rarely H3.2). Additional mutations in ATRX and TP53/PPM1D are common. In brainstem tumors, ACVR1 mutations are also recurrently observed. Prognosis of this class is generally very poor, although rare lower grade lesions with K27M mutation have also been reported."	78	"13 (3-54)"	0.767441860465116	"WHO equivalent"	"Diffuse midline glioma, H3 K27M–mutant (78; 100%)"	""	"supra (24; 51.1%), PF (20; 42.6%), spinal (6; 12.8%)"	"Schwartzentruber et al., Nature 2012, PMID: 22286061; Sturm et al., Cancer Cell. 2012 Oct 16;22(4):425-37. PMID: 23079654"	"DJ"	13	1	54	14.1489361702128	""	36	"Glioblastoma"	"GBM_K27"	"Methylierungsklasse diffuses Gliom der Mittellinie, H3 K27M mutiert"
13	"GBM, G34"	"55c056"	"GBM_G34"	"methylation class glioblastoma, IDH wildtype, H3.3 G34 mutant"	NA	"The methylation class "glioblastoma, IDH wildtype, H3.3 G34 mutant" almost exclusively comprises tumors with glioblastoma, IDH wildtype histology as well as rare cases with anaplastic astrocytoma, IDH wildtype or embryonal histology. Location is typically in the supratentorial hemispheres; Median age is 19.5 years (range 0 to 40). The vast majority of cases in this class harbor mutations of codon 34 of the H3.3 gene (H3F3A). Copy number changes are numerous, with gain of 1q and 7 (>40% of cases) and (focal) loss of 4q, 10q and 13 (each in over 40%) being most frequent "	41	"19,5 (0-40)"	1.25	"WHO subclass"	"Glioblastoma, IDH-wildtype  (40; 97.6%)"	"Anaplastic astrocytoma, IDH-wildtype  (1; 2.4%)"	"supra (17; 100%)"	"Korshunov et al., Acta Neuropathol. 2016 Jan;131(1):137-46. PMID: 26482474; Schwartzentruber et al., Nature 2012, PMID: 22286061; Sturm et al., Cancer Cell. 2012 Oct 16;22(4):425-37. PMID: 23079654"	"DC"	19.5	0	40	19.7777777777778	""	33	"Glioblastoma"	"GBM_G34"	"Methylierungsklasse Glioblastom, IDH Wildtyp, Subtyp H3.3 G34 mutiert"
14	"GBM, MES"	"538533"	"GBM_MES"	"methylation class glioblastoma, IDH wildtype, subclass mesenchymal"	"MTGF_GBM"	"The methylation class "glioblastoma, IDH wildtype, subclass mesenchymal" is comprised of tumors with a histological diagnosis of glioblastoma or occasionally gliosarcoma. These tumors are typically located in the cerebral hemispheres. Median age is 59 years (range 40 to 86). Recurrent chromosomal alterations are gain of chromosome 7 with or without EGFR amplification (>80%), loss of 9p21 (CDKN2A/B; >60%) and chromosome 10 loss (>90%). Alterations of NF1 may also be enriched in this subtype, and expression profiles often resemble the 'Mesenchymal' subgroup according to the TCGA classification."	56	"59 (40-86)"	1.03703703703704	"WHO subclass"	"Glioblastoma, IDH-wildtype  (52; 92.9%)"	"Gliosarcoma, IDH-wildtype  (4; 7.1%)"	"supra (38; 100%)"	"Sturm et al., Cancer Cell 2012, PMID:23079654; Verhaak et al, Cancer Cell. 2010 Jan 19;17(1):98-110. PMID: 20129251"	"DJ"	59	40	86	59.156862745098	""	38	"Glioblastoma"	"GBM_MES"	"Methylierungsklasse Glioblastom, IDH Wildtyp, Subtyp mesenchymal"
15	"GBM, RTK I"	"68c62d"	"GBM_RTK_I"	"methylation class glioblastoma, IDH wildtype, subclass RTK I"	"MTGF_GBM"	"The methylation class "glioblastoma, IDH wildtype, subclass RTK I" is comprised of tumors with a histological diagnosis of glioblastoma, IDH wildtype. The tumors are located in the cerebral hemispheres. Median age is 64 years (range 29 to 84). Recurrent chromosomal alterations are gain of chromosome 7 with or without EGFR amplification (>80%), loss of 9p21 (CDKN2A/B; >50%) and chromosome 10 loss (>70%). Amplifications of the PDGFRA oncogene are enriched in this class (present in 20-30% of cases). Expression profiles often resemble the 'Proneural' subgroup according to the TCGA classification."	64	"64 (29-84)"	1.48	"WHO subclass"	"Glioblastoma, IDH-wildtype  (64; 100%)"	""	"supra (42; 100%)"	"Sturm et al., Cancer Cell 2012, PMID:23079654; Verhaak et al, Cancer Cell. 2010 Jan 19;17(1):98-110. PMID: 20129251"	"DJ"	64	29	84	61.469387755102	""	41	"Glioblastoma"	"GBM_RTK1"	"Methylierungsklasse Glioblastom, IDH Wildtyp, Subtyp RTK I"
16	"GBM, RTK II"	"7af870"	"GBM_RTK_II"	"methylation class glioblastoma, IDH wildtype, subclass RTK II"	"MTGF_GBM"	"The methylation class "glioblastoma, IDH wildtype, subclass RTK II" is comprised of tumors with a histological diagnosis of glioblastoma, IDH wildtype and rarely gliosarcoma, IDH wildtype. These tumors are typically located in the cerebral hemispheres. Median age is 61 years (range 36 to 86). Recurrent chromosomal alterations are gain of chromosome 7 with or without EGFR amplification (>90%), loss of 9p21 (CDKN2A/B; >70%) and chromosome 10 loss (>90%). Gin of chromosome 19 and 20 is also recurrently observed (40% of cases). Expression profiles often resemble the 'Classical' subgroup according to the TCGA classification."	143	"61 (36-86)"	0.866666666666667	"WHO subclass"	"Glioblastoma, IDH-wildtype  (141; 98.6%)"	"Gliosarcoma, IDH-wildtype  (2; 1.4%)"	"supra (87; 97.8%), PF (3; 3.4%)"	"Sturm et al., Cancer Cell 2012, PMID:23079654; Verhaak et al, Cancer Cell. 2010 Jan 19;17(1):98-110. PMID: 20129251"	"DJ"	61	36	86	60.9210526315789	""	42	"Glioblastoma"	"GBM_RTK2"	"Methylierungsklasse Glioblastom, IDH Wildtyp, Subtyp RTK II"
17	"GBM, RTK III"	"78e435"	"GBM_RTK_III"	"methylation class glioblastoma, IDH wildtype, subclass RTK III"	"MTGF_GBM"	"The methylation class "glioblastoma, IDH wildtype, subclass RTK III" is comprised of tumors with a histological diagnosis of glioblastoma, IDH wildtype. These tumors are typically located in the cerebral hemispheres. Median age is 9 years (range 0-16 years). Amplifications of EGFR (>50%) are relatively frequent in this subgroup. Loss of chromosome 10 is observed in over 40% of cases. "	13	"9 (0-16)"	1.16666666666667	"WHO subclass"	"Glioblastoma, IDH-wildtype  (13; 100%)"	""	"supra (6; 75%), PF (2; 25%)"	"pending"	"DJ"	9	0	16	9.5	""	39	"Glioblastoma"	"GBM_pedRTK"	"Methylierungsklasse Glioblastom, IDH Wildtyp, Subtyp RTK III"
18	"GBM, MID"	"27780d"	"GBM_MID"	"methylation class glioblastoma, IDH wildtype, subclass midline "	"MTGF_GBM"	"The methylation class "glioblastoma, IDH wildtype, subclass midline" is comprised of tumors with a histological diagnosis of glioblastoma, located in midline structures (thalamus, cerebellum, spine). Median age is 13 years (range 2 to 79). Tumors of this class share epigenetic similarities with histone 3 K27M-mutated tumors, but lack this mutation. Mutations of FGFR1 are relatively common, particularly in thalamic tumors. Copy number changes are numerous, the most frequent changes being gain/amplification of PDGFR-alpha and loss of CDKN2A/B (both in over 70% of cases). "	14	"13 (2-79)"	1.4	"WHO subclass"	"Glioblastoma, IDH-wildtype  (14; 100%)"	""	"supra (7; 63.6%), PF (4; 36.4%)"	"Reuss et al., Acta Neuropathol. 2015 Sep;130(3):407-17. PMID: 26087904"	"DJ"	13	2	79	35.5454545454545	""	34	"Glioblastoma"	"GBM_HGG_MID"	"Methylierungsklasse Glioblastom, IDH Wildtyp, Mittellinien Subtyp"
19	"GBM, MYCN"	"48e948"	"GBM_MYCN"	"methylation class glioblastoma, IDH wildtype, subclass MYCN"	"MTGF_GBM"	"The methylation class "glioblastoma, IDH wildtype, subclass MYCN" is mainly comprised of tumors with a histological diagnosis of glioblastoma, IDH wildtype. These tumors may be located supratentorial or in the posterior fossa. Median age is 11 years (range 3 to 56). Amplifications of the MYCN oncogene, often with co-amplification of the nearby ID2 gene, are enriched in this subgroup (present in 20-30% of cases)."	16	"11 (3-56)"	0.666666666666667	"WHO subclass"	"Glioblastoma, IDH-wildtype  (16; 100%)"	""	"PF (4; 50%), supra (4; 50%)"	"Sturm et al., Cell. 2016 Feb 25;164(5):1060-72. PMID: 26919435"	"DJ"	11	3	56	15.7777777777778	""	40	"Glioblastoma"	"GBM_RTK_MYCN"	"Methylierungsklasse Glioblastom, IDH Wildtyp, Subtyp MYCN"
20	"CN"	"b85400"	"CN"	"methylation class central neurocytoma"	NA	"The methylation class "central neurocytoma" is exclusively comprised of tumors with the histological diagnosis central neurocytoma. A distinction between central neurocytoma and atypical central neurocytoma is currently not possible based on methylation profiling. Most frequent location is the lateral ventricle; median age is 27 years (range 14 to 70). Additional characteristic molecular features of this class are not known to date. Recurrent chromosomal alterations are not observed and most cases show a flat profile in copy number analysis."	21	"27 (14-70)"	0.7	"WHO equivalent"	"Central neurocytoma   (21; 100%)"	""	"supra (21; 100%)"	"pending"	"DC"	27	14	70	29	""	7	"Neuronal"	"CN"	"Methylierungsklasse zentrales Neurozytom"
21	"DLGNT"	"d1723a"	"DLGNT"	"methylation class diffuse leptomeningeal glioneuronal tumor"	NA	"The methylation class "diffuse leptomeningeal glioneuronal tumor" is mainly comprised of tumors with the histological diagnosis of diffuse leptomeningeal glioneuronal tumor. The most frequent initial location is spinal. In the course of the disease dissemination along the leptomeninges is frequent. Supratentorial tumor nodule formation is also possible. Median age is 13 years (range 5 to 39). Typical copy number changes are a loss of 1p (>90%) and occasionally a combined loss of 1p/19q (40%) co-occurring with BRAF duplication (BRAF fusion). IDH1/2 mutations are not observed."	8	"13 (5-39)"	0.4	"WHO equivalent"	"Diffuse leptomeningeal glioneuronal tumour   (8; 100%)"	""	"spinal (4; 57.1%), supra (3; 42.9%)"	"pending"	"DC"	13	5	39	15.75	""	18	"Neuronal"	"DOLN"	"Methylierungsklasse MAPK aktiviertes Gliom, Subtyp diffuser leptomeningealer glioneuronaler Tumor"
22	"LIPN"	"de7b2c"	"LIPN"	"methylation class cerebellar liponeurocytoma"	NA	"The methylation class "cerebellar liponeurocytoma" is comprised of tumors with the histological diagnosis cerebellar liponeurocytoma. Location is cerebellar in all cases; median age is 47 years (range 29 to 64). Additional characteristic molecular features of this class are not known to date. Focal loss of chromosome 14 (70%) and chromosome 2p (50%) are recurrently observed. "	10	"47 (29-64)"	1	"WHO equivalent"	"Cerebellar liponeurocytoma   (10; 100%)"	""	"PF (9; 100%)"	"pending"	"DC"	47	29	64	47.8888888888889	""	50	"Neuronal"	"LIPN"	"Methylierungsklasse zerebelläres Liponeurozytom"
23	"LGG, DIG/DIA"	"cd4d00"	"LGG_DIG_DIA"	"methylation class low grade glioma, desmoplastic infantile astrocytoma / ganglioglioma"	NA	"The methylation class "low grade glioma, desmoplastic infantile astrocytoma / ganglioglioma" mostly comprises tumors histologically resembling desmoplastic infantile gliomas. These tumors are located supratentorially, and patients are typically below 3 years of age at presentation; median age is 1 year (age range 0 to 11). Typical molecular features of this class are not currently known, although occasional BRAF V600E mutations have been reported. Recurrent chromosomal alterations are not observed and most cases show a flat profile in copy number analysis. "	8	"1 (0-11)"	1	"WHO equivalent"	"Desmoplastic infantile astrocytoma and ganglioglioma   (8; 100%)"	""	"supra (6; 100%)"	"pending"	"DJ"	1	0	11	2	""	15	"Neuronal"	"DIG1"	"Methylierungsklasse niedriggradiges Gliom, Subtyp desmoplastisches infantiles Astrozytom / Gangliogliom"
24	"LGG, DNT"	"cb5216"	"LGG_DNT"	"methylation class low grade glioma, dysembryoplastic neuroepithelial tumor"	NA	"The methylation class "low grade glioma, dysembryoplastic neuroepithelial tumor" comprises tumors with the histological diagnosis dysembryoplastic neuroepithelial tumor and rarely other low grade glioma histology. All cases are located supratentorially and mostly in the temporal or frontal cortex; median age is 18 years (age range 3 to 73). Alterations of FGFR1 are a relatively common feature of this class. Recurrent chromosomal alterations are not observed and most cases show a flat profile in copy number analysis."	44	"18 (3-73)"	0.866666666666667	"WHO equivalent"	"Dysembryoplastic neuroepithelial tumor   (44; 100%)"	""	"supra (43; 100%)"	"pending"	"DC"	18	3	73	20.5	""	17	"Neuronal"	"DNET"	"Methylierungsklasse niedriggradiges Gliom, Subtyp dysembryoplastischer neuroepithelialer Tumor"
25	"LGG, RGNT"	"f79246"	"LGG_RGNT"	"methylation class low grade glioma, rosette forming glioneuronal tumor"	NA	"The methylation class "low grade glioma, rosette forming glioneuronal tumor" comprises tumors with the histological diagnosis rosette forming glioneuronal tumor. Tumors are typically located in or around the 4th ventricle; median age is 21 years (range 10 to 65). Additional characteristic molecular features of this class are not known, although occasional FGFR1 alterations have been reported. Recurrent chromosomal alterations are not observed and most cases show a flat profile in copy number analysis."	9	"21 (10-65)"	0.5	"WHO equivalent"	"Rosette-forming glioneuronal tumor   (9; 100%)"	""	"PF (7; 87.5%), supra (1; 12.5%)"	"pending"	"DC"	21	10	65	30.6666666666667	""	89	"Neuronal"	"RGNT"	"Methylierungsklasse niedriggradiges Gliom, Subtyp rosettenbildender glioneuronaler Tumor"
26	"RETB"	"ff9755"	"RETB"	"methylation class retinoblastoma"	NA	"The methylation class "retinoblastoma" exclusively comprises tumors with the histological diagnosis of retinoblastoma. Location is intraocular in all cases; median age is 1 year (range 0-3 years). Alterations of the RB1 gene are frequent in this class. "	19	"1 (0-3)"	0.461538461538462	"WHO equivalent"	"Retinoblastoma (19; 100%)"	""	"mesenchyme (19; 100%)"	"pending"	"DC"	1	0	3	0.842105263157895	""	88	"Neuronal"	"RB"	"Methylierungsklasse Retinoblastom"
